questionId,catalogVersion,sourceCatalogVersion,language,countryProfile,chapterNumber,chapterTitle,sectionTitle,itemNumber,questionText,buildingSystem,component,inspectionArea,answerType,normReference,capexRelevant,evidenceRelevant,findingRelevant,assessmentRelevant,recommendationRelevant,decisionRelevant,reportRelevant,uploadRelevant,sourcePage,sourceConfidence,reviewStatus
DE-TDD-02-001,2.7.0,0.1.0,de,germany_residential,02,Außenbereich & Grundstück,Zugang / Einfriedung,01,"Zaun: Standsicherheit, Beschädigungen, Korrosion",site_external,fence,access_enclosure,checklist_rating,,True,True,True,True,False,False,False,True,6,high,draft
DE-TDD-02-002,2.7.0,0.1.0,de,germany_residential,02,Außenbereich & Grundstück,Zugang / Einfriedung,02,"Eingangstor / Hoftor: Funktion, Sicherheit",site_external,gate,access_enclosure,checklist_rating,,True,True,True,True,False,False,False,True,6,high,draft
DE-TDD-02-003,2.7.0,0.1.0,de,germany_residential,02,Außenbereich & Grundstück,Zugang / Einfriedung,03,"Briefkastenanlage: Zustand, DIN-konform",site_external,mailbox_system,access_enclosure,checklist_rating,DIN EN 13724,True,True,True,True,False,False,False,True,6,high,draft
DE-TDD-02-004,2.7.0,0.1.0,de,germany_residential,02,Außenbereich & Grundstück,Zugang / Einfriedung,04,Hausnummer sichtbar und beleuchtet,site_external,house_number,access_enclosure,checklist_rating,LBO,False,True,True,True,False,False,False,True,6,high,draft
DE-TDD-02-007,2.7.0,0.1.0,de,germany_residential,02,Außenbereich & Grundstück,Außenanlagen,07,"Gehwege: Stolperkanten, Gefälle, Frostschäden",site_external,walkways,external_surfaces,checklist_rating,DIN 18318,True,True,True,True,False,False,False,True,7,high,draft
DE-TDD-02-005,2.7.0,0.2.0,de,germany_residential,02,Außenbereich & Grundstück,Zugang / Einfriedung,05,Klingel- / Sprechanlage funktionsfähig,site_external,intercom_bell_system,access_enclosure,checklist_rating,,True,True,True,True,False,False,False,True,6,high,draft
DE-TDD-02-006,2.7.0,0.2.0,de,germany_residential,02,Außenbereich & Grundstück,Außenanlagen,06,"Zufahrt / Stellplätze: Belag, Setzungen, Rissbildung",site_external,driveway_parking,external_surfaces,checklist_rating,,True,True,True,True,False,False,False,True,7,high,draft
DE-TDD-02-008,2.7.0,0.2.0,de,germany_residential,02,Außenbereich & Grundstück,Außenanlagen,08,"Treppen außen: Trittsicherheit, Geländerhöhe ≥ 90 cm",site_external,external_stairs,external_surfaces,checklist_rating,DIN 18065,True,True,True,True,False,False,False,True,7,high,draft
DE-TDD-02-009,2.7.0,0.2.0,de,germany_residential,02,Außenbereich & Grundstück,Außenanlagen,09,"Terrasse: Belag, Gefälle vom Haus weg ≥ 2 %",site_external,terrace,external_surfaces,checklist_rating,DIN 18531-5 / Flachdach-RL,True,True,True,True,False,False,False,True,7,high,draft
DE-TDD-02-010,2.7.0,0.2.0,de,germany_residential,02,Außenbereich & Grundstück,Außenanlagen,10,"Carport / Garage: Standsicherheit, Dach, Tor",site_external,carport_garage,external_structures,checklist_rating,,True,True,True,True,False,False,False,True,7,high,draft
DE-TDD-02-011,2.7.0,0.2.0,de,germany_residential,02,Außenbereich & Grundstück,Außenanlagen,11,"Müllstandsplatz, Fahrradabstellplatz",site_external,waste_bicycle_storage,external_facilities,checklist_rating,LBO,False,True,True,True,False,False,False,True,7,high,draft
